verbatimIdentification,Phylllum,Clase,Orden,Familia,Genero,Especies
Abylopsis tetragona,Cnidaria,Hydrozoa,Siphonophorae,Abylidae ,Abylopsis,tetragona
Acartia danae,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,danae
Acartia sp,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,
Achelata,Arthropoda,Malacostraca,Decapoda,,,
Ammonia ,Foraminifera,Globothalamea ,Rotaliida,Ammoniidae,Ammonia ,
Amphipoda,Arthropoda,Malacostraca,Amphipoda,,,
Annelida,Annelida,,,,,
Anomura,Arthropoda,Malacostraca,Decapoda,,,
Appendicularia,Chordata,Appendicularia,,,,
Arthropoda,Arthropoda,,,,,
Artotrogidae,Arthropoda,Copepoda,Siphonostomatoida,Artotrogidae ,,
Atlanta,Mollusca,Gastropoda,Littorinimorpha ,Atlantidae,Atlanta,
Benthesicymidae,Arthropoda,Malacostraca,Decapoda,Benthesicymidae,,
Bivalvia,Mollusca,Bivalvia,,,,
Brachyura,Arthropoda,Malacostraca,Decapoda,,,
Branchiopoda,Arthropoda,Branchiopoda,,,,
Bryozoa,Bryozoa,,,,,
Calanidae,Arthropoda,Copepoda,Calanoida,Calanidae,,
Calanoida,Arthropoda,Copepoda,Calanoida,,,
Calanus ,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,
Calocalanus,Arthropoda,Copepoda,Calanoida,Paracalanidae ,Calocalanus,
Candacia,Arthropoda,Copepoda,Calanoida,Candaciidae ,Candacia,
Caridea,Arthropoda,Malacostraca,Decapoda,,,
Cavolina ,Mollusca,Gastropoda,Pteropoda,Cavoliniidae ,Cavolina,
Cavoliniidae,Mollusca,Gastropoda,Pteropoda,Cavoliniidae ,,
Centropages furcatus,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,furcatus
Centropages sp,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,
Cephalopoda,Mollusca,Cephalopoda,,,,
Chaetognatha,Chaetognatha,,,,,
Cirripedia,Arthropoda,Thecostraca,,,,
Cladocera,Arthropoda,Branchiopoda,Cladocera,,,
Clausocalanus,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,
Clio pyramidata,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,pyramidata
Clio sp,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,
Clione,Mollusca,Gastropoda,Pteropoda,Clionidae ,Clione,
Cnidaria,Cnidaria,,,,,
Copepoda,Arthropoda,Copepoda,,,,
Copilia cuadrata,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Copilia,cuadrata
Copilia mirabilis,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Copilia,mirabilis
Corycaeus,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Corycaeus,
Creseis,Mollusca,Gastropoda,Pteropoda,Creseidae ,Creseis,
Crystallophyes,Cnidaria,Hydrozoa,Siphonophorae,Clausophyidae ,Crystallophyes,
Ctenostomata,Bryozoa,Gymnolaemata ,,,,
Cumacea,Arthropoda,Malacostraca,Cumacea,,,
Cyclopoida,Arthropoda,Copepoda,Cyclopoida,,,
Decapoda,Arthropoda,Malacostraca,Decapoda,,,
Dendrobranchiata,Arthropoda,Malacostraca,Decapoda,,,
Doliolum,Chordata,Thaliacea,Doliolida,Doliolidae,Doliolum,
Echinoidea,Echinodermata ,Echinoidea,,,,
Eirenidae ,Cnidaria,Hydrozoa,Leptothecata,Eirenidae ,,
Ethmodiscus rex,Heterokontophyta,Bacillariophyceae,Coscinodiscales ,Coscinodiscaceae,Ethmodiscus ,rex
Eucarida,Arthropoda,Malacostraca,,,,
Euchaeta pubera,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,pubera
Euchaeta sp,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,
Euchirella,Arthropoda,Copepoda,Calanoida,Aetideidae,Euchirella,
Eudoxoides mitra,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Eudoxoides,mitra
Euphausia,Arthropoda,Malacostraca,Euphausiacea ,Euphausiidae ,Euphausia,
